kelime;anlam;lowercase;tokens;lemmas;stemmed
Tıfıl;Küçük,küçücük.;küçük küçücük;küçücük küçük;küçücük küçük;küçücük küçük
Tıkaç;Tapa,tanpon.;tapa tanpon;tanpon tapa;tanpon tapa;tanpon tap
Tıkız;Sıkıca kapalı,bağlı.Kapalı.;kapalı bağlı kapalı sıkıca;bağlı kapalı sıkıca;bağlı kapalı sıkıca;bağl kapa sıkı
Tıngırak;Hayvanlara takılan konik çan.;takılan konik hayvanlara çan;hayvanlara konik takılan çan;hayvanlara konik takılan çan;hayvan konik takılan çan
Tıpa;Tapa.;tapa;tapa;tapa;tap
Tibal;Giyimine çok titiz olan.;giyimine olan çok titiz;giyimine olan titiz;giyimine olan titiz;giyim olan tit
Tiftik;Keçi yünü.;yünü keçi;keçi yünü;keçi yünü;keç yün
Tiken;Diken.;diken;diken;diken;di
Tili;Çok titiz kişi.;kişi titiz çok;kişi titiz;kişi titiz;kiş tit
Tir;Yemek seçen.;yemek seçen;seçen yemek;seçen yemek;seçen yemek
Tirebezi;Pamuklu dokuma,basma bez.;dokuma basma bez pamuklu;basma bez dokuma pamuklu;basma bez dokuma pamuklu;basm bez dok pamuk
Tirizma;Toprağı derin kazmak.;toprağı derin kazmak;derin kazmak toprağı;derin kazmak toprağı;der kazmak toprak
Tivsi;Küçük balık,hamsi.;küçük balık hamsi;balık hamsi küçük;balık hamsi küçük;balık hamsi küçük
Toftaşma;Sakinleşme.;sakinleşme;sakinleşme;sakinleşme;sakinleş
Tokarak;Yuvarlakca.;yuvarlakca;yuvarlakca;yuvarlakca;yuvarlak
Tokaç;Çamaşır yıkamada kullanılan sopa.;sopa yıkamada kullanılan çamaşır;kullanılan sopa yıkamada çamaşır;kullanılan sopa yıkamada çamaşır;kullanılan sop yıkama çamaşır
Tokmak;Ağaç takoz.;takoz ağaç;ağaç takoz;ağaç takoz;ağaç takoz
Toklu;Yaşına gelmiş koyun.;yaşına gelmiş koyun;gelmiş koyun yaşına;gelmiş koyun yaşına;gel koy yaş
Tombul;Yuvarlak,şişman.;yuvarlak şişman;yuvarlak şişman;yuvarlak şişman;yuvarlak şişman
Tonga;Tuzak;tuzak;tuzak;tuzak;tuzak
Topuk;Ayağın arka kısmı.Yaylada ot çeşidi.;arka çeşidi ot kısmı yaylada ayağın;arka ayağın kısmı ot yaylada çeşidi;arka ayağın kısmı ot yaylada çeşidi;ark ayak kısm ot yayla çeşi
Topuk otu;Yaylalarda yetişen bir ot.;ot yetişen bir yaylalarda;bir ot yaylalarda yetişen;bir ot yaylalarda yetişen;bir ot yayla yetişen
Topur;Dalda dikenli kestane meyvesi.Çotanak.;dikenli meyvesi çotanak kestane dalda;dalda dikenli kestane meyvesi çotanak;dalda dikenli kestane meyvesi çotanak;dal diken kestane meyve çotanak
Tor;Boncuk,oya boncuğu.;boncuğu boncuk oya;boncuk boncuğu oya;boncuk boncuğu oya;boncuk o
Toy;Acemi.;acemi;acemi;acemi;acem
Tozak;İnce hafif yağan kar.Çok tozlu yer.;i̇nce tozlu yağan hafif kar çok yer;hafif i̇nce kar tozlu yağan yer;hafif i̇nce kar tozlu yağan yer;hafif i̇nce kar tozlu yağan yer
Tömbek;Diken meyvesi,böğürtlen çileği.;diken çileği meyvesi böğürtlen;böğürtlen diken meyvesi çileği;böğürtlen diken meyvesi çileği;böğürtlen di meyve çilek
Tömbelek;Küçük davul.;küçük davul;davul küçük;davul küçük;davul küçük
Töngel;Muşmula meyvesi.;meyvesi muşmula;meyvesi muşmula;meyvesi muşmula;meyve muşm
Tulkurma;Şişme.;şişme;şişme;şişme;şişm
Turkurma;Sinirlenme.;sinirlenme;sinirlenme;sinirlenme;sinirlen
Tulum;Peynir konulan koyun keçi derisi.;konulan peynir derisi keçi koyun;derisi keçi konulan koyun peynir;derisi keçi konulan koyun peynir;deri keç konulan koy peynir
Tumba;Hamtevekten yapılan balık tutma sepeti.;tutma sepeti yapılan hamtevekten balık;balık hamtevekten sepeti tutma yapılan;balık hamtevekten sepeti tutma yapılan;balık hamtevek sepet tutm yapılan
Tutak;Mutfakta sıcak kap tutacağı.;mutfakta kap sıcak tutacağı;kap mutfakta sıcak tutacağı;kap mutfakta sıcak tutacağı;kap mutfak sıcak tutacak
Tuzlak;Koyunlara tuz verilen yer.;koyunlara yer tuz verilen;koyunlara tuz verilen yer;koyunlara tuz verilen yer;koyun tuz verilen yer
Tüksü;Yakma.Yanmış.;yakma yanmış;yakma yanmış;yakma yanmış;yakm yan
Tülemek;Başlangıç.Meydana gelme.;başlangıç meydana gelme;başlangıç gelme meydana;başlangıç gelme meydana;başlangıç gelm meydan
Tüllermek;Aniden üşümek.;üşümek aniden;aniden üşümek;aniden üşümek;ani üşümek
Tümsek;Yüksek yer,seki.;yer seki yüksek;seki yer yüksek;seki yer yüksek;sek yer yük
Tünek;Kümesde tavuk oturakları.;tavuk kümesde oturakları;kümesde oturakları tavuk;kümesde oturakları tavuk;kümes oturak tavuk
Tünekleme;Oturup bekleme.;bekleme oturup;bekleme oturup;bekleme oturup;bekle oturup
Tünemek;Tavuk oturması.;tavuk oturması;oturması tavuk;oturması tavuk;oturma tavuk
Tütmek;Yanarak duman çıkarmak.;yanarak çıkarmak duman;duman yanarak çıkarmak;duman yanarak çıkarmak;duman yanarak çıkarmak
Tütsü;Yakılarak duman çıkarma.;çıkarma yakılarak duman;duman yakılarak çıkarma;duman yakılarak çıkarma;duman yakılarak çıkar
Tüy;Hafif.Kıl.;hafif kıl;hafif kıl;hafif kıl;hafif kıl
"U-Ü- 
Uçgur";Bel bağı.Don lastiği.;bel lastiği bağı don;bağı bel lastiği;bağı bel lastiği;bak bel lastik
Uçkurusu;Kuru dal.;kuru dal;dal kuru;dal kuru;dal kur
Ufra;Ekmek pişirmede sacı üzerine serilen un.;ekmek pişirmede serilen üzerine sacı un;ekmek pişirmede sacı serilen un üzerine;ekmek pişirmede sacı serilen un üzerine;ekmek pişirme saç serilen un üzer
Uğurlama;Gönderme.;gönderme;gönderme;gönderme;gönder
Uğurak;Varılan yer.;varılan yer;varılan yer;varılan yer;varılan yer
Ula;Erkeklere seslenme.;erkeklere seslenme;erkeklere seslenme;erkeklere seslenme;erkek seslen
Ulo;Kadınların eşlerine seslenişi.;kadınların eşlerine seslenişi;eşlerine kadınların seslenişi;eşlerine kadınların seslenişi;eşler kadın sesleniş
Uluk;Pis,pasaklı.;pis pasaklı;pasaklı pis;pasaklı pi;pasak pi
Umma;Ümit etmek;ümit etmek;etmek ümit;etmek ümit;etmek ümit
Umsunma;Ümit ile beklelek.;ümit ile beklelek;beklelek ümit;beklelek ümit;beklelek ümit
Unluk;Değirmende un konulan yer.;konulan un değirmende yer;değirmende konulan un yer;değirmende konulan un yer;değirmen konulan un yer
Urgan;Halat.;halat;halat;halat;halat
Uruf olmak;Üzülmek.;üzülmek;üzülmek;üzülmek;üzülmek
Uslu;Akıllı.Sakin insan.;insan akıllı sakin;akıllı insan sakin;akıllı insan sakin;akıl insan saki
Usulca;Yavaşca.;yavaşca;yavaşca;yavaşca;yavaş
Uşak;Erkek evlat.;evlat erkek;erkek evlat;erkek evlat;erkek evlat
Uy;Bir hayret nidası.;nidası bir hayret;bir hayret nidası;bir hayret nidası;bir hayret nida
Uyartmak;Uyandırmak.;uyandırmak;uyandırmak;uyandırmak;uyandırmak
Uyra;Rüya.;rüya;rüya;rüya;rüya
Uyruk;Hayvanları arka kısmı.;arka kısmı hayvanları;arka hayvanları kısmı;arka hayvanları kısmı;ark hayvan kısm
Uyuz;Zayıf.Hastalıklı.;zayıf hastalıklı;hastalıklı zayıf;hastalıklı zayıf;hastalık zayıf
Üğüm;Fındık dalları.;dalları fındık;dalları fındık;dalları fındık;dal fın
Üğütmek;Un haline getirmek.;getirmek haline un;getirmek haline un;getirmek haline un;getirmek halin un
Ül;Undan yapılan civciv yemi.;civciv undan yemi yapılan;civciv undan yapılan yemi;civciv undan yapılan yemi;civciv un yapılan yem
Ürkme;Korkma.;korkma;korkma;korkma;kork
Ürmek;Haylamak.;haylamak;haylamak;haylamak;haylamak
Üşmek;Toprağı eşmek,çukur kazma.;toprağı eşmek çukur kazma;eşmek kazma toprağı çukur;eşmek kazma toprağı çukur;eşmek kazm toprak çukur
Üşenmek;Çekirgenlik.İçinden gelmemek.İsteksiz.;gelmemek i̇steksiz çekirgenlik i̇çinden;gelmemek i̇steksiz i̇çinden çekirgenlik;gelmemek i̇steksiz i̇çinden çekirgenlik;gelmemek i̇steksiz i̇çinden çekirgenlik
Üveç;Yaşı gelmemiş erkek koyun.;erkek yaşı gelmemiş koyun;erkek gelmemiş koyun yaşı;erkek gelmemiş koyun yaşı;erkek gelm koy yaş
Üzmek;Dalından koparmak.;koparmak dalından;dalından koparmak;dalından koparmak;dal koparmak
Üzüm ayı;Ekim ayı.;ekim ayı;ayı ekim;ayı ekim;ayı ek
"V- 
Vacurvucur konuşma";Çok ve boş konuşmalar.;ve boş konuşmalar çok;boş konuşmalar;boş konuşmalar;boş konuş
Vakırtı;Gürültü.;gürültü;gürültü;gürültü;gürül
Vakurvukur etme;Çok gürültü yapmak.;yapmak gürültü çok;gürültü yapmak;gürültü yapmak;gürül yapmak
Vallah;Yemin.;yemin;yemin;yemin;yem
Vana;Çeşme musluğu.;çeşme musluğu;musluğu çeşme;musluğu çeşme;musluk çeşm
Vapur;Gemi.;gemi;gemi;gemi;gemi
Varmak;Ulaşmak.;ulaşmak;ulaşmak;ulaşmak;ulaşmak
Varta;Zorluklar.Tehlikeli durumlar.;durumlar zorluklar tehlikeli;durumlar tehlikeli zorluklar;durumlar tehlikeli zorluklar;dur tehlike zorluk
Vay;Şaşma sözü.Şaşkınlık.;sözü şaşkınlık şaşma;sözü şaşkınlık şaşma;sözü şaşkınlık şaşma;söz şaşkınlık şaşm
Verep;Yamaca karşı düz yol,düz gitmek.;gitmek yamaca karşı düz yol düz;düz gitmek karşı yamaca yol;düz gitmek karşı yamaca yol;düz gitmek karş yama yol
Vıcık;Sulu çamur.;sulu çamur;sulu çamur;sulu çamur;su çamur
Vıcırtlatma;Ezme işi yapma.;işi yapma ezme;ezme işi yapma;ezme işi yapma;ezm iş yapma
Vıyık;Kısık ses.;ses kısık;kısık ses;kısık s;kısık s
Vızıklanma;Nazlanma.Şımarıklılık.;nazlanma şımarıklılık;nazlanma şımarıklılık;nazlanma şımarıklılık;nazlan şımarıklılık
Vire;Daima,devamlı.;daima devamlı;daima devamlı;daima devamlı;daima devam
Viy;O da ne.;ne da o;;;
"Y- 
Yaba";Çatal ağızlı tel kürek.;kürek ağızlı çatal tel;ağızlı kürek tel çatal;ağızlı kürek tel çatal;ağız kürek tel çatal
Yaban;Orman.;orman;orman;orman;orman
Yafta;Resmi kağıt.;resmi kağıt;kağıt resmi;kağıt resmi;kağıt resm
Yağlaş;Undan yapılan yemek.;undan yemek yapılan;undan yapılan yemek;undan yapılan yemek;un yapılan yemek
Yakarma;Yalvarma.;yalvarma;yalvarma;yalvarma;yalvar
Yal;Hayvan yiyecekleri.;hayvan yiyecekleri;hayvan yiyecekleri;hayvan yiyecekleri;hayvan yiyecek
Yalak;Su toplanan çukur.;çukur su toplanan;su toplanan çukur;su toplanan çukur;su toplanan çukur
Yalavu;Ateş alevi.Ateşın sıcaklığı.;alevi ateşın sıcaklığı ateş;alevi ateş ateşın sıcaklığı;alevi ateş ateşın sıcaklığı;alev ateş ateşı sıcaklık
Yalavuz;Yalnız,tek başına olan kimse.;olan başına kimse yalnız tek;başına kimse olan tek yalnız;başına kimse olan tek yalnız;baş kims olan tek yaln
Yaltaklanma;Çıkar için kişiye yanaşma.;çıkar için kişiye yanaşma;kişiye yanaşma çıkar;kişiye yanaşma çıkar;kişi yanaş çıkar
Yama;Yokuş,yamaç.Ek yapma.;yapma yokuş yamaç ek;ek yamaç yapma yokuş;ek yamaç yapma yokuş;ek yamaç yapma yokuş
Yamalık;Yamada kullanılan bez parçası.;parçası yamada kullanılan bez;bez kullanılan parçası yamada;bez kullanılan parçası yamada;bez kullanılan parça yama
Yambul;Topal;topal;topal;topal;topal
Yane;Ne sandın.;sandın ne;sandın;sandın;sant
Yapma;El ile yapılan aletler.;aletler ile el yapılan;aletler el yapılan;aletler el yapılan;alet el yapılan
Yar;Uçurum.;uçurum;uçurum;uçurum;uçur
Yardaklanma;Kişiye yağcılık yapma.;yapma kişiye yağcılık;kişiye yapma yağcılık;kişiye yapma yağcılık;kişi yapma yağcılık
"Yarık            Açılmış. 
Yarma";Mısır kırması.;mısır kırması;kırması mısır;kırması mısır;kırma mısır
Yarmaça;Kızılağaç odunu.Yarılmış odun.;odun odunu yarılmış kızılağaç;kızılağaç odun odunu yarılmış;kızılağaç odun odunu yarılmış;kızılağaç odun yarıl
Yasan olmak;Ortadan kaybolmak.;ortadan kaybolmak;kaybolmak ortadan;kaybolmak ortadan;kaybolmak orta
Yaş;Islak.;islak;islak;islak;islak
Yaşmak;Baş örtüsü.;baş örtüsü;baş örtüsü;baş örtüsü;baş örtü
Yavan;Tadı az olan.Tuzsuz.;olan tuzsuz tadı az;olan tadı tuzsuz;olan tadı tuzsuz;olan tat tuzs
Yavşak;Bit yavrusu.;bit yavrusu;bit yavrusu;bit yavrusu;bit yavru
Yavşu;Tarlada yetişen yenilen bitki.;yetişen bitki tarlada yenilen;bitki tarlada yenilen yetişen;bitki tarlada yenilen yetişen;bitki tarla yenilen yetişen
Yaykın;Kızılağaç.;kızılağaç;kızılağaç;kızılağaç;kızılağaç
Yaylım;Otlak,mera.;otlak mera;mera otlak;mera otlak;mera otlak
Yaymak;Sermek.Hayvan otlatmak.;otlatmak sermek hayvan;hayvan otlatmak sermek;hayvan otlatmak sermek;hayvan otlatmak sermek
Yazlık;Yaylaya çıkma.;çıkma yaylaya;yaylaya çıkma;yaylaya çıkma;yayla çıkm
Yazma;Başa örtülen beyaz çember.;beyaz çember başa örtülen;başa beyaz çember örtülen;başa beyaz çember örtülen;baş beyaz çember örtülen
Yetişme;Bir yere varmak.Büyümek.;varmak büyümek bir yere;bir büyümek varmak yere;bir büyümek varmak yere;bir büyümek varmak yer
Yelönü;İçi boş fındık.;fındık boş i̇çi;boş fındık i̇çi;boş fındık i̇çi;boş fın i̇çi
Yen;Süt hayvanı memesi.;süt hayvanı memesi;hayvanı memesi süt;hayvanı memesi süt;hayvan meme süt
Yenlik;Hafif.;hafif;hafif;hafif;hafif
Yesir;Koşularak ebelemece oynanan bir oyun.;ebelemece oynanan koşularak bir oyun;bir ebelemece koşularak oynanan oyun;bir ebelemece koşularak oynanan oyun;bir ebeleme koşularak oynanan oyun
Yevgi;Hayvan yiyeceği otlar.;yiyeceği hayvan otlar;hayvan otlar yiyeceği;hayvan otlar yiyeceği;hayvan ot yiyecek
Yezit;İnatcı,menfaatcı kimse.;i̇natcı menfaatcı kimse;i̇natcı kimse menfaatcı;i̇natcı kimse menfaatcı;i̇natcı kims menfaatç
Yıldırak;Kaygan.;kaygan;kaygan;kaygan;kaygan
Yılışık;Yalaka,dalkavuk.;yalaka dalkavuk;dalkavuk yalaka;dalkavuk yalaka;dalkavuk yalak
Yılkı;Yaylada başıboş atlar.;atlar yaylada başıboş;atlar başıboş yaylada;atlar başıboş yaylada;at başıboş yayla
Yıprak;Becekli.;becekli;becekli;becekli;becek
Yitmek;Kaybolmak.;kaybolmak;kaybolmak;kaybolmak;kaybolmak
Yivdin;Kokulu yabani bir bitki.;bir yabani kokulu bitki;bir bitki kokulu yabani;bir bitki kokulu yabani;bir bitki koku yabani
Yolluk;Gelin almada arkadaşlarına verilen bağşiş.;verilen gelin arkadaşlarına bağşiş almada;almada arkadaşlarına bağşiş gelin verilen;almada arkadaşlarına bağşiş gelin verilen;alma arkadaş bağşiş gel verilen
Yolmak;Bitkileri el ile koparmak toplamak.;toplamak bitkileri ile el koparmak;bitkileri el koparmak toplamak;bitkileri el koparmak toplamak;bitki el koparmak toplamak
Yoluşma;Birbirini tutarak çekiştirme.Güreşme.;çekiştirme güreşme birbirini tutarak;birbirini güreşme tutarak çekiştirme;birbirini güreşme tutarak çekiştirme;birbir güreş tutarak çekiştir
Yonga;Odun parçası.;odun parçası;odun parçası;odun parçası;odun parça
Yosma;Güzel alımlı.Boylu boslu.;güzel alımlı boylu boslu;alımlı boslu boylu güzel;alımlı boslu boylu güzel;alım bosl boyl güzel
Yorgan;Yatakda üste örtülen örtü.;örtülen örtü yatakda üste;yatakda örtü örtülen üste;yatakda örtü örtülen üste;yatak ört örtülen üs
Yoz;Kıraç arazi.;arazi kıraç;arazi kıraç;arazi kıraç;arazi kıraç
Yörek;Beşik bezi.;bezi beşik;bezi beşik;bezi beşik;bez beşik
Yufka;İnce açılan hamur,börek.;hamur börek i̇nce açılan;açılan börek hamur i̇nce;açılan börek hamur i̇nce;açılan börek hamur i̇nce
Yuğlamak;Devirmek.;devirmek;devirmek;devirmek;devirmek
Yuka;Derin olmayan.Suyun derin olmayan kısmı;olmayan derin derin olmayan suyun kısmı;derin kısmı olmayan suyun;derin kısmı olmayan suyun;der kısm olmayan suy
Yukarı;Üst taraf.;üst taraf;taraf üst;taraf üst;taraf üst
Yunmak;Yıkanmak.Çimmek.;yıkanmak çimmek;yıkanmak çimmek;yıkanmak çimmek;yıkanmak çimmek
Yüğleme;Bileleme.Ucunu sivriltme.;sivriltme bileleme ucunu;bileleme sivriltme ucunu;bileleme sivriltme ucunu;bilele sivrilt uç
Yüklü;Gebe.Hamile.;gebe hamile;gebe hamile;gebe hamile;gep hami
Yürük;Atik,çevik.;atik çevik;atik çevik;atik çevik;atik çevik
Yüzme;Gölde yıkanma.;yıkanma gölde;gölde yıkanma;gölde yıkanma;göl yıkan
"Z- 
Zaar";Köpek.;köpek;köpek;köpek;köpek
Zabaccak;Yarın sabah.Ertesi gün.;yarın sabah ertesi gün;ertesi gün sabah yarın;ertesi gün sabah yarın;erte gün sabah yar
Zahra;Değirmene giden üğütülecek mısır.;üğütülecek giden değirmene mısır;değirmene giden mısır üğütülecek;değirmene giden mısır üğütülecek;değirmen gi mısır üğütülecek
Zara;Tahıl,mısır,buğday.;tahıl mısır buğday;buğday mısır tahıl;buğday mısır tahıl;buğday mısır tahıl
Zaten;Halbuki.;halbuki;halbuki;halbuki;halbuki
Zatiberi;Eskiden beri.;eskiden beri;beri eskiden;beri eskiden;ber eski
Zebelemek;Ayağı dolaşmak.;dolaşmak ayağı;ayağı dolaşmak;ayağı dolaşmak;ayak dolaşmak
Zebil;Fazla.Çok.;fazla çok;fazla;fazla;fazl
Zeğele;Akşam üstü.;akşam üstü;akşam üstü;akşam üstü;akşa üst
Zeklenme;Konuşarak alay etmek.;etmek konuşarak alay;alay etmek konuşarak;alay etmek konuşarak;alay etmek konuşarak
Zembelek;Yay.;yay;yay;yay;yay
Zembil;Kıldan dokunan sırt çantası.Askı.Zincir.;çantası askı zincir dokunan kıldan sırt;askı dokunan kıldan sırt zincir çantası;askı dokunan kıldan sırt zincir çantası;askı dokunan kıl sırt zincir çanta
Zemheri;Ocak ayı.;ocak ayı;ayı ocak;ayı ocak;ayı ocak
Zıbaddatma;Kıvrılıp yatmak.;yatmak kıvrılıp;kıvrılıp yatmak;kıvrılıp yatmak;kıvrılıp yatmak
Zıbarmak;Ölmek.;ölmek;ölmek;ölmek;ölmek
"Sebze meyve sapı. 
Zıkkım";Zehir.;zehir;zehir;zehir;zehir
Zıkkımınkökünü ye;Zehirlen.Bedua.;zehirlen bedua;bedua zehirlen;bedua zehirlen;bedu zehirlen
Zıldırın zaarı;Çok gezen.Gezmek.;gezen gezmek çok;gezen gezmek;gezen gezmek;gezen gezmek
Zınnık;Çok az.Zerre kadar.;az zerre kadar çok;kadar zerre;kadar zerre;kadar zerr
Zıpka;Yöresel pantolon giysi.;pantolon yöresel giysi;giysi pantolon yöresel;giysi pantolon yöresel;giys pantolon yöresel
Zırvalamak;Dağıtma.Saçmalama.Tutarsız konuşma.;konuşma dağıtma saçmalama tutarsız;dağıtma konuşma saçmalama tutarsız;dağıtma konuşma saçmalama tutarsız;dağıt konuş saçmala tutars
Zırzır;Sürekli gereksiz konuşma.;gereksiz konuşma sürekli;gereksiz konuşma sürekli;gereksiz konuşma sürekli;gereks konuş sürek
Zırzop;Delidolu.;delidolu;delidolu;delidolu;delido
Zıt;Ters.;ters;ters;ters;ters
Zıtlık;Terslik.;terslik;terslik;terslik;terslik
"Zibçik           .Zurnanın ötürülen kısmı.Düdük. 
Zifir";Sigara dumanı nikotin.;dumanı nikotin sigara;dumanı nikotin sigara;dumanı nikotin sigara;duman nikoti sigar
Zil;Beşiğe takılan küçük yuvarlak çan.;çan küçük takılan beşiğe yuvarlak;beşiğe küçük takılan yuvarlak çan;beşiğe küçük takılan yuvarlak çan;beşik küçük takılan yuvarlak çan
Zilli;Kavgacı kadın.;kavgacı kadın;kadın kavgacı;kadın kavgacı;kat kavgaç
"Zilzurna         Sarhoş. 
Zivzik";Küçük.Küçük fare.;fare küçük küçük;fare küçük;fare küçük;fare küçük
Zollu;İyi.Çok güzel.;güzel i̇yi çok;güzel i̇yi;güzel i̇yi;güzel i̇yi
Zorlu;Güçlü kuvvetli.;güçlü kuvvetli;güçlü kuvvetli;güçlü kuvvetli;güçl kuvvet
Zote;Saklanmaç oyunu.;saklanmaç oyunu;oyunu saklanmaç;oyunu saklanmaç;oyun saklanmaç
Zuğur;Meydana gelme.;meydana gelme;gelme meydana;gelme meydana;gelm meydan
Zumbuk;Yumruk.;yumruk;yumruk;yumruk;yumruk
Zülüf;Kulak yanı saçlar.Favori.;saçlar favori kulak yanı;favori kulak saçlar yanı;favori kulak saçlar yanı;favori kulak saç yan
Züğriyet;Nesil.Kök.;nesil kök;kök nesil;kök nesil;kök nesil
Züğül;Özürlü olan.Sakat.;olan sakat özürlü;olan sakat özürlü;olan sakat özürlü;olan sakat özür
